State,County,Female life expectancy (years),Male life expectancy (years)
Indiana,Jennings County,78.12,72.75
Indiana,Johnson County,80.68,76.12
Indiana,Knox County,78.55,73.15
Indiana,Kosciusko County,80.36,75.53
Indiana,LaGrange County,79.84,75.29
Indiana,Lake County,79.24,73.23
Indiana,LaPorte County,78.89,73.59
Indiana,Lawrence County,78.96,72.92
Indiana,Madison County,78,72.96
Indiana,Marion County,78.51,73.23
Indiana,Marshall County,80.08,76.19
Indiana,Martin County,79.23,73.69
Indiana,Miami County,79.39,75.2
Indiana,Monroe County,81.55,77.29
Indiana,Montgomery County,80.01,74.51
Indiana,Morgan County,79.64,74.19
Indiana,Newton County,79.1,74.4
Indiana,Noble County,79.07,74.56
Indiana,Ohio County,79.12,73.21
Indiana,Orange County,79.39,72.77
Indiana,Owen County,78.58,73.3
Indiana,Parke County,79.9,74.26
Indiana,Perry County,79.41,75.57
Indiana,Pike County,79.68,75.04
Indiana,Porter County,80.04,75.92
Indiana,Posey County,81.19,75.25
Indiana,Pulaski County,78.79,74.21
Indiana,Putnam County,80.1,75.41
Indiana,Randolph County,79.82,74.97
Indiana,Ripley County,79.11,75.89
Indiana,Rush County,79,74.52
Indiana,St. Joseph County,79.88,75.19
Indiana,Scott County,76.53,71.2
Indiana,Shelby County,79.11,73.94
Indiana,Spencer County,80.93,75.56
Indiana,Starke County,76.5,72.5
Indiana,Steuben County,81.3,77.09
Indiana,Sullivan County,78.63,72.62
Indiana,Switzerland County,79.12,73.21
Indiana,Tippecanoe County,80.67,76.8
Indiana,Tipton County,79.21,76.18
Indiana,Union County,80.36,75.18
Indiana,Vanderburgh County,78.97,74.57
Indiana,Vermillion County,77.97,73.58
Indiana,Vigo County,78.51,73.31
Indiana,Wabash County,80.21,74.44
Indiana,Warren County,80.74,74.25
Indiana,Warrick County,80.42,77.06
Indiana,Washington County,77.93,72.64
Indiana,Wayne County,78.54,73.44
Indiana,Wells County,81.77,76.22
Indiana,White County,80.11,75.59
Indiana,Whitley County,80.66,75.97
Iowa,Adair County,81.52,76.28
Iowa,Adams County,80.85,76.29
Iowa,Allamakee County,81.2,77.19
Iowa,Appanoose County,80.24,74.96
Iowa,Audubon County,81.52,76.28
Iowa,Benton County,81.89,77.56
Iowa,Black Hawk County,80.72,76.66
Iowa,Boone County,80,75.62
Iowa,Bremer County,82.95,78.71
Iowa,Buchanan County,80.78,76.89
Iowa,Buena Vista County,81.36,76.23
Iowa,Butler County,82.82,76.94
Iowa,Calhoun County,81.02,77.33
Iowa,Carroll County,81.87,76.24
Iowa,Cass County,81.66,76.9
Iowa,Cedar County,83.17,77.9
Iowa,Cerro Gordo County,80.75,76.75
Iowa,Cherokee County,81.46,76.41
Iowa,Chickasaw County,82.82,76.94
Iowa,Clarke County,80.72,75.22
Iowa,Clay County,81.16,77.3
Iowa,Clayton County,82.72,76.61
Iowa,Clinton County,79.72,75.52
Iowa,Crawford County,80.88,76.07
Iowa,Dallas County,82.88,79.35
Iowa,Davis County,80.55,76.26
Iowa,Decatur County,80.72,75.22
Iowa,Delaware County,82.43,78.89
Iowa,Des Moines County,79.86,76.62
Iowa,Dickinson County,83.7,78.24
Iowa,Dubuque County,81.36,77.64
Iowa,Emmet County,81.14,76.37
Iowa,Fayette County,81.29,76.57
Iowa,Floyd County,81.27,77.62
Iowa,Franklin County,81.68,77.07
Iowa,Fremont County,80.47,75.46
Iowa,Greene County,81.83,76.65
Iowa,Grundy County,81.82,77.42
Iowa,Guthrie County,81.83,76.65
Iowa,Hamilton County,82.53,76.93
Iowa,Hancock County,81.68,77.07
Iowa,Hardin County,81.2,76.17
Iowa,Harrison County,79.79,74.28
Iowa,Henry County,81.66,76.72
Iowa,Howard County,82.43,77.81
Iowa,Humboldt County,81.96,76.68
Iowa,Ida County,79.73,75.53
Iowa,Iowa County,82.34,77.59
Iowa,Jackson County,81.29,76.11
Iowa,Jasper County,81.3,75.62
Iowa,Jefferson County,80.75,76.83
Iowa,Johnson County,83.46,78.3
Iowa,Jones County,82.14,77.62
Iowa,Keokuk County,82.34,77.59
Iowa,Kossuth County,81.92,78.4
Iowa,Lee County,79.89,74.61
Iowa,Linn County,82.09,78.17
Iowa,Louisa County,81.77,76.67
Iowa,Lucas County,80.24,74.96
Iowa,Lyon County,81.45,76.96
Iowa,Madison County,81.18,75.88
Iowa,Mahaska County,80.98,76.52
Iowa,Marion County,81.07,76.75
Iowa,Marshall County,81.22,73.58
Iowa,Mills County,80.05,75.15
Iowa,Mitchell County,82.43,77.81
Iowa,Monona County,79.73,75.53
Iowa,Monroe County,80.55,76.26
Iowa,Montgomery County,80.47,75.46
Iowa,Muscatine County,80.97,76.51
Iowa,OBrien County,81.46,76.41
Iowa,Osceola County,81.45,76.96
Iowa,Page County,80.22,75.21
Iowa,Palo Alto County,81.14,76.37
Iowa,Plymouth County,82.84,78.15
Iowa,Pocahontas County,81.96,76.68
Iowa,Polk County,81.13,76.41
Iowa,Pottawattamie County,79.88,74.67
Iowa,Poweshiek County,81.43,77.96
Iowa,Ringgold County,80.85,76.29
Iowa,Sac County,81.02,77.33
Iowa,Scott County,80.78,75.83
Iowa,Shelby County,81.66,76.9
Iowa,Sioux County,83.49,77.98
Iowa,Story County,82.65,79.04
Iowa,Tama County,81.82,77.42
Iowa,Taylor County,80.85,76.29
Iowa,Union County,81.18,75.88
Iowa,Van Buren County,80.75,76.83
Iowa,Wapello County,78.98,74.26
Iowa,Warren County,80.83,76.82
Iowa,Washington County,81.77,76.67
Iowa,Wayne County,80.55,76.26
Iowa,Webster County,78.85,75.38
Iowa,Winnebago County,82.15,76.71
Iowa,Winneshiek County,83.67,78.56
Iowa,Woodbury County,80.06,75.73
Iowa,Worth County,82.15,76.71
Iowa,Wright County,81.16,76.72
Kansas,Allen County,78.54,74.52
Kansas,Anderson County,82.13,75
Kansas,Atchison County,79.27,74.95
Kansas,Barber County,80.55,75.82
Kansas,Barton County,79.89,74.91
Kansas,Bourbon County,80.11,73.66
Kansas,Brown County,81.5,75.66
Kansas,Butler County,79.68,75.4
Kansas,Chase County,80.6,75.99
Kansas,Chautauqua County,78.14,72.43
Kansas,Cherokee County,77.47,70.95
Kansas,Cheyenne County,80.87,75.7
Kansas,Clark County,79.73,75.22
Kansas,Clay County,80.64,75.33
Kansas,Cloud County,80.64,75.33
Kansas,Coffey County,82.13,75
Kansas,Comanche County,79.73,75.22
Kansas,Cowley County,78.49,73.45
Kansas,Crawford County,78.61,73.18
Kansas,Decatur County,80.87,75.7
Kansas,Dickinson County,80.91,76.89
Kansas,Doniphan County,79.27,74.95
Kansas,Douglas County,81.67,77.68
Kansas,Edwards County,80.62,74.72
Kansas,Elk County,78.14,72.43
Kansas,Ellis County,80.77,76.55
Kansas,Ellsworth County,80.39,74.84
Kansas,Finney County,80.4,75.82
Kansas,Ford County,79.73,75.22
Kansas,Franklin County,79.69,74.28
Kansas,Geary County,78.65,73.17
Kansas,Gove County,80.93,76.74
Kansas,Graham County,80.93,76.74
Kansas,Grant County,80.32,75.79
Kansas,Gray County,80.4,75.82
Kansas,Greeley County,80.22,76.74
Kansas,Greenwood County,80.6,75.99
Kansas,Hamilton County,80.22,76.74
Kansas,Harper County,80.55,75.82
Kansas,Harvey County,81.32,77.33
Kansas,Haskell County,80.4,75.82
Kansas,Hodgeman County,81.65,76.81
Kansas,Jackson County,80.96,75.52
Kansas,Jefferson County,80.33,76.13
Kansas,Jewell County,81.51,76.54
Kansas,Johnson County,83.04,79.42
Kansas,Kearny County,80.32,75.79
Kansas,Kingman County,80.55,75.82
Kansas,Kiowa County,79.73,75.22
Kansas,Labette County,79.16,73.64
Kansas,Lane County,80.22,76.74
Kansas,Leavenworth County,80.54,75.66
Kansas,Lincoln County,80.39,74.84
Kansas,Linn County,78.54,74.52
Kansas,Logan County,80.93,76.74
Kansas,Lyon County,80.67,75.77
Kansas,McPherson County,81,76.08
Kansas,Marion County,80.91,76.89
Kansas,Marshall County,81.33,76.65
Kansas,Meade County,79.73,75.22
Kansas,Miami County,80.4,75.76
Kansas,Mitchell County,80.3,75.42
Kansas,Montgomery County,78.14,72.43
Kansas,Morris County,80.6,75.99
Kansas,Morton County,80.32,75.79
Kansas,Nemaha County,81.5,75.66
Kansas,Neosho County,79.42,74.18
Kansas,Ness County,81.65,76.81
Kansas,Norton County,80.93,76.74
Kansas,Osage County,80.69,74.96
Kansas,Osborne County,81.51,76.54
Kansas,Ottawa County,80.3,75.42
Kansas,Pawnee County,81.65,76.81
Kansas,Phillips County,80.93,76.74
Kansas,Pottawatomie County,80.96,75.52
Kansas,Pratt County,80.07,74.8
Kansas,Rawlins County,80.87,75.7
Kansas,Reno County,80.07,74.8
Kansas,Republic County,81.33,76.65
Kansas,Rice County,80.62,74.72
Kansas,Riley County,82.27,78.33
Kansas,Rooks County,81.51,76.54
Kansas,Rush County,81.65,76.81
Kansas,Russell County,80.39,74.84
Kansas,Saline County,80.3,75.42
Kansas,Scott County,80.22,76.74
Kansas,Sedgwick County,79.76,75.39
Kansas,Seward County,79.62,74.02
Kansas,Shawnee County,80.41,74.73
Kansas,Sheridan County,80.93,76.74
Kansas,Sherman County,80.87,75.7
Kansas,Smith County,81.51,76.54
Kansas,Stafford County,80.62,74.72
Kansas,Stanton County,80.22,76.74
Kansas,Stevens County,80.32,75.79
Kansas,Sumner County,79.24,73.89
Kansas,Thomas County,80.87,75.7
Kansas,Trego County,80.93,76.74
Kansas,Wabaunsee County,80.69,74.96
Kansas,Wallace County,80.22,76.74
Kansas,Washington County,81.33,76.65
Kansas,Wichita County,80.22,76.74
Kansas,Wilson County,79.42,74.18
Kansas,Woodson County,79.42,74.18
Kansas,Wyandotte County,77.73,71.78
Kentucky,Adair County,78.47,73.56
Kentucky,Allen County,76.73,72.24
Kentucky,Anderson County,78.69,74.88
Kentucky,Ballard County,78.51,72.12
Kentucky,Barren County,79.21,73.19
Kentucky,Bath County,77.65,70.58
Kentucky,Bell County,74.94,68.76
Kentucky,Boone County,80.43,75.51
Kentucky,Bourbon County,79.08,72.4
Kentucky,Boyd County,77.25,72.79
Kentucky,Boyle County,78.7,74.77
Kentucky,Bracken County,76.57,72.04
Kentucky,Breathitt County,75.29,67.5
Kentucky,Breckinridge County,78.63,73.46
Kentucky,Bullitt County,80.16,75.61
Kentucky,Butler County,78.25,73.03
Kentucky,Caldwell County,77.01,73.41
Kentucky,Calloway County,79.64,73.93
Kentucky,Campbell County,78.75,74.7
Kentucky,Carlisle County,78.51,72.12
Kentucky,Carroll County,77.61,73.15
Kentucky,Carter County,77.55,70.93
Kentucky,Casey County,76.49,71.02
Kentucky,Christian County,77.71,72.18
Kentucky,Clark County,77.59,73.41
Kentucky,Clay County,74.12,68.7
Kentucky,Clinton County,77.32,71.22
Kentucky,Crittenden County,78.08,73.59
Kentucky,Cumberland County,77.32,71.22
Kentucky,Daviess County,78.9,74.31
Kentucky,Edmonson County,78.25,73.03
Kentucky,Elliott County,76.97,72.13
Kentucky,Estill County,76.16,69.85
Kentucky,Fayette County,80.04,76.15
Kentucky,Fleming County,77.65,70.58
Kentucky,Floyd County,76.23,66.59
Kentucky,Franklin County,78.62,74.48
Kentucky,Fulton County,77.88,72.41
Kentucky,Gallatin County,77.14,72.7
Kentucky,Garrard County,79.21,73.87
Kentucky,Grant County,77.14,72.7
Kentucky,Graves County,77.88,72.41
Kentucky,Grayson County,77.26,72.01
Kentucky,Green County,78.14,72.6
Kentucky,Greenup County,78.28,72.76
Kentucky,Hancock County,78.63,73.46
Kentucky,Hardin County,78.58,74.04
Kentucky,Harlan County,74.86,68.1
Kentucky,Harrison County,77.43,71.74
Kentucky,Hart County,79,72.99
Kentucky,Henderson County,77.31,72.79
Kentucky,Henry County,78.31,72.03
